Gene	Blattner
EG11546	b0109
EG11787	b2053
EG12192	b2615
EG12412	b2041
G6350	b0639
EG11572	b0066
EG11573	b0067
EG11574	b0068
EG11585	b3994
EG11586	b3993
EG11587	b3992
EG11589	b3991
EG11590	b3990
EG12073	b2214
G1	b4407
G6234	b0417
G6238	b0423
G6246	b0446
G6566	b1106
G6580	b1134
G7135	b2103
M007	b2104
EG10465	b3041
EG10736	b0708
EG11079	b0025
EG11321	b0414
EG11322	b0415
EG11331	b1277
EG11385	b0606
EG11406	b1662
EG10138	b3918
EG10139	b0175
EG10217	b2316
EG10224	b4042
EG10247	b2563
EG10273	b0954
EG10274	b2323
EG10276	b3256
EG10277	b1091
EG10396	b3927
EG10740	b4041
EG10995	b0452
EG11208	b4017
EG11284	b0180
EG11317	b1092
EG11318	b1093
EG11377	b3018
EG11528	b1288
EG11531	b1661
EG11647	b0185
EG11679	b2836
EG12221	b3475
EG12606	b1095
G6823	b1550
EG11591	b0630
EG11796	b4386
EG11923	b4026
EG11924	b4027
EG11925	b4028
EG11926	b4029
EG12259	b3532
EG10704	b0418
EG10705	b1278
EG10706	b1912
EG10775	b4160
EG10781	b2585
EG11437	b1090
EG11449	b4480
EG11608	b1249
EG11674	b3059
EG12128	b2828
EG12591	b4359
G0-9662	b4517
G6406	b0789
EG10168	b0657
G6250	b0453
EG10315	b4320
EG11489	b1042
EG11976	b1949
G6547	b1041
EG10319	b1891
EG10320	b1892
EG10321	b1923
EG10322	b1944
EG10323	b1945
EG10324	b1946
EG10841	b1924
EG11224	b1947
EG11346	b1937
EG11347	b1938
EG11388	b1925
EG11389	b1926
EG11393	b1185
EG11545	b1083
EG11654	b1939
EG11656	b1940
EG11967	b1082
EG11975	b1948
G357	b1072
G358	b1073
G359	b1074
G360	b1075
G361	b1076
G362	b1077
G363	b1078
G364	b1079
G365	b1080
G366	b1081
G370	b1879
G378	b1942
G379	b1943
G6293	b0533
G6562	b1070
EG10309	b4312
EG10312	b4313
EG10839	b3842
EG12052	b2194
EG12053	b2195
EG12054	b2196
EG12055	b2197
EG12057	b2199
EG12058	b2200
EG12169	b2198
EG12178	b4136
G6554	b1057
EG10374	b3447
EG10417	b0849
EG11031	b3781
EG11887	b2582
EG12181	b1654
EG12294	b3610
EG12688	b1064
G7401	b2673
EG10275	b3255
EG11095	b0404
EG50003	b1094
G6343	b0617
EG10162	b2048
EG10820	b1951
EG10821	b2217
EG10822	b2218
EG11502	b0196
EG11788	b2052
EG11789	b2051
EG11790	b2050
G7091	b2028
G7094	b2043
G7095	b2044
G7096	b2045
G7098	b2047
G7099	b2054
G7100	b2055
G7102	b2057
G7103	b2058
G7104	b2059
G7105	b2060
G7106	b2061
G7107	b2062
G7239	b2376
EG10855	b0641
EG11188	b3618
EG11361	b2064
EG11569	b0054
G7167	b2254
G7663	b3198
EG10382	b3729
EG11198	b3730
EG11454	b3789
EG11553	b3176
EG11978	b2039
EG11979	b2038
EG11980	b2037
EG11981	b2036
EG11982	b2035
EG11983	b2034
EG12411	b2040
G7090	b2027
EG10518	b1215
EG10519	b0918
EG10520	b3633
EG10838	b3619
EG10973	b2708
EG11189	b3621
EG11339	b3631
EG11340	b3630
EG11341	b3632
EG11350	b3629
EG11409	b0915
EG11423	b3623
EG11424	b3622
EG11425	b3625
EG11426	b3624
EG11736	b0200
EG11837	b3871
EG12210	b3620
EG12267	b3546
G6106	b0222
G7590	b3052
G7662	b3197
EG10265	b0096
EG10316	b0179
EG10464	b1054
EG10545	b0181
EG10546	b0182
EG10614	b1855
EG12180	b0622
EG12666	b0524
G7166	b2253
G7168	b2255
G7170	b2257
G7241	b2378
EG10840	b3784
EG11295	b3785
EG11451	b3786
EG11452	b3787
EG11456	b3791
EG11457	b3793
EG11458	b3794
EG11486	b3792
G7800	b4481
EG11885	b1048
G6552	b1047
EG10040	b4150
EG10202	b3182
EG10213	b0381
EG10214	b0092
EG10341	b0084
EG10442	b1508
EG10443	b1507
EG10544	b1677
EG10580	b2328
EG10604	b0087
EG10605	b0149
EG10606	b0635
EG10609	b3250
EG10610	b3249
EG10619	b0091
EG10620	b0088
EG10621	b0085
EG10622	b0086
EG10623	b0090
EG10748	b3396
EG10950	b4392
EG11204	b3967
EG11205	b3972
EG11358	b3189
EG11363	b4169
EG11823	b2435
EG12015	b2134
G6092	b0174
G6439	b0841
G6622	b1193
G6968	b1782
G7322	b2519
G7410	b2701
G7457	b2813
G7458	b2817
G7533	b2963
G7668	b3208
EG10377	b3429
EG10378	b3432
EG10379	b3430
EG11381	b3049
G6215	b0363
G6852	b1594
EG12345	b1539
G7040	b1932
EG10425	b1619
EG10456	b2552
EG10628	b3924
EG10744	b1603
EG10745	b1602
EG10755	b4226
EG11032	b0888
EG11421	b0338
EG11685	b3656
EG11762	b3592
EG11843	b3878
EG11844	b3879
EG11957	b4085
EG12285	b3581
EG12293	b3589
EG12319	b0126
EG12361	b2842
EG50005	b0578
G6277	b0508
G6341	b0615
G6342	b0616
G6661	b1325
G6806	b1519
G6890	b1650
G7195	b2303
G7234	b2371
G7237	b2374
G7350	b2584
G7419	b2738
G7493	b2874
G7502	b2883
G7516	b2919
G7517	b2920
G7553	b2989
G7858	b4196
G7859	b4197
G7860	b4198
G7911	b4298
G7914	b4301
G7928	b4331
G7932	b4335
EG11060	b0480
EG11428	b3962
G7093	b2042
EG10632	b0677
EG10633	b0678
EG10636	b0676
EG10637	b3225
G436	b3224
G7630	b3131
G7632	b3133
G7633	b3134
G7635	b3140
G7676	b3222
G7677	b3223
G7454	b2810
EG10959	b2938
EG10960	b2937
EG10961	b2965
EG10962	b0120
EG10963	b0121
EG10964	b0693
EG12882	b2988
G6842	b1584
EG10626	b0099
EG11417	b4238
EG10585	b3941
EG11002	b2827
EG10109	b0311
EG10110	b0312
EG10112	b0314
EG10299	b0585
EG10306	b1102
EG11378	b1684
EG11415	b0812
EG11653	b3807
EG12131	b2527
EG12132	b2528
G6905	b1679
G6906	b1680
G6907	b1681
G6908	b1682
G6909	b1683
EG10022	b4015
EG10023	b4014
EG10026	b4016
EG10491	b4018
EG10589	b2942
EG11583	b0507
EG11557	b0036
EG11559	b0038
EG11564	b0043
EG11565	b0044
G6099	b0212
G6497	b0963
G6891	b1651
G6958	b1771
G6967	b1781
EG10175	b0340
EG10176	b0339
EG10177	b0341
G0-8601	b4467
G7544	b4468
G7545	b2979
EG11239	b0766
G6879	b1636
G7259	b2418
EG11211	b4155
EG11556	b0008
EG11797	b2464
EG11172	b3115
EG10361	b2662
EG11329	b2661
EG12386	b2664
EG10030	b1623
EG10039	b1982
EG10048	b0049
EG10051	b0469
EG10137	b2143
EG10160	b4213
EG10200	b3934
EG10219	b4382
EG10220	b4383
EG10221	b4381
EG10223	b0840
EG10225	b0160
EG10251	b3640
EG10413	b3779
EG10414	b0238
EG10660	b2234
EG10661	b2235
EG10664	b2964
EG10835	b2784
EG10966	b3650
EG10994	b1238
EG11035	b0411
EG11045	b3831
EG11082	b0030
EG11090	b0159
EG11102	b0477
EG11236	b0315
EG11326	b0337
EG11327	b0336
EG11332	b2498
EG11418	b2065
EG11539	b0171
EG11700	b0751
EG11701	b2066
EG11828	b3856
EG11934	b4055
EG11971	b2393
EG12030	b2162
EG12129	b2497
EG12302	b1098
EG12381	b2676
EG20098	b0125
EG20257	b2675
G6155	b0284
G6156	b0285
G6157	b0286
G6337	b0610
G6358	b0651
G7402	b2674
G7530	b2954
G812	b4237
G85	b2407
EG10041	b0110
EG10674	b1243
EG10675	b1244
EG10676	b1245
EG10677	b1246
EG10678	b1247
EG12183	b0433
EG12440	b4233
G6665	b1329
G6880	b1640
G7263	b2428
EG10398	b3926
EG10399	b2239
EG11050	b3449
EG11904	b3945
EG12167	b0921
EG20091	b3608
EG10283	b4232
EG10688	b3403
EG10759	b1702
EG10948	b1479
G7293	b2463
EG10033	b1002
EG11017	b1197
EG11751	b1896
EG11752	b1897
EG12127	b4240
EG12202	b4241
EG12629	b3437
G6655	b1317
EG10049	b0980
EG10715	b4102
EG10716	b4101
EG10717	b4100
EG10718	b4099
EG10719	b4098
EG10720	b4097
EG10721	b4096
EG10722	b4095
EG10723	b4094
EG10725	b4092
EG10727	b0383
EG10728	b0399
EG10733	b0400
EG10734	b3728
EG10735	b3724
EG10738	b3821
EG10739	b3825
EG10782	b3726
EG10783	b3725
EG10784	b3727
EG11401	b0384
EG11403	b2502
EG11510	b2501
EG11734	b1020
EG12230	b3493
EG12883	b2987
G6476	b0934
G6478	b0936
EG10003	b2413
EG10043	b4214
EG10089	b3801
EG10183	b2422
EG10185	b2750
EG10186	b2752
EG10189	b2762
EG10190	b2763
EG10191	b2764
EG10194	b2751
EG10195	b2425
EG10197	b2424
EG10198	b2423
EG10929	b3917
EG11600	b2521
EG11601	b2522
EG11705	b3678
EG11955	b4083
EG12358	b0933
G6477	b0935
G6479	b0937
G6788	b1498
G6952	b1757
G7455	b2811
EG10642	b1223
EG10654	b3367
EG10898	b3202
EG11602	b3053
EG12153	b1469
EG12191	b0450
G6457	b0873
G6518	b1007
G6519	b1008
G6520	b1009
G6521	b1010
G6522	b1011
G6523	b1012
G6755	b1444
G7072	b1988
